image,label
img/img001_1.png,A
img/img001_2.png,A
img/img001_3.png,A
img/img001_4.png,A
img/img001_5.png,A
img/img001_6.png,A
img/img001_7.png,A
img/img001_8.png,A
img/img001_9.png,A
img/img001_10.png,A
img/img001_11.png,A
img/img001_12.png,A
img/img001_13.png,A
img/img001_14.png,A
img/img001_15.png,A
img/img001_16.png,A
img/img001_17.png,A
img/img001_18.png,A
img/img001_19.png,A
img/img001_20.png,A
img/img001_21.png,A
img/img001_22.png,A
img/img001_23.png,A
img/img001_24.png,A
img/img001_25.png,A
img/img001_26.png,A
img/img001_27.png,A
img/img001_28.png,A
img/img001_29.png,A
img/img001_30.png,A
img/img001_31.png,A
img/img001_32.png,A
img/img001_33.png,A
img/img001_34.png,A
img/img001_35.png,A
img/img001_36.png,A
img/img001_37.png,A
img/img001_38.png,A
img/img001_39.png,A
img/img001_40.png,A
img/img001_41.png,A
img/img001_42.png,A
img/img001_43.png,A
img/img001_44.png,A
img/img001_45.png,A
img/img001_46.png,A
img/img001_47.png,A
img/img001_48.png,A
img/img001_49.png,A
img/img001_50.png,A
img/img001_51.png,A
img/img001_52.png,A
img/img001_53.png,A
img/img001_54.png,A
img/img001_55.png,A
img/img001_56.png,A
img/img001_57.png,A
img/img001_58.png,A
img/img001_59.png,A
img/img001_60.png,A
img/img001_61.png,A
img/img001_62.png,A
img/img001_63.png,A
img/img001_64.png,A
img/img001_65.png,A
img/img001_66.png,A
img/img001_67.png,A
img/img001_68.png,A
img/img001_69.png,A
img/img001_70.png,A
img/img001_71.png,A
img/img001_72.png,A
img/img001_73.png,A
img/img001_74.png,A
img/img001_75.png,A
img/img001_76.png,A
img/img001_77.png,A
img/img001_78.png,A
img/img001_79.png,A
img/img001_80.png,A
img/img001_81.png,A
img/img001_82.png,A
img/img001_83.png,A
img/img001_84.png,A
img/img001_85.png,A
img/img001_86.png,A
img/img001_87.png,A
img/img001_88.png,A
img/img001_89.png,A
img/img001_90.png,A
img/img001_91.png,A
img/img001_92.png,A
img/img001_93.png,A
img/img001_94.png,A
img/img001_95.png,A
img/img001_96.png,A
img/img001_97.png,A
img/img001_98.png,A
img/img001_99.png,A
img/img001_100.png,A
img/img002_1.png,B
img/img002_2.png,B
img/img002_3.png,B
img/img002_4.png,B
img/img002_5.png,B
img/img002_6.png,B
img/img002_7.png,B
img/img002_8.png,B
img/img002_9.png,B
img/img002_10.png,B
img/img002_11.png,B
img/img002_12.png,B
img/img002_13.png,B
img/img002_14.png,B
img/img002_15.png,B
img/img002_16.png,B
img/img002_17.png,B
img/img002_18.png,B
img/img002_19.png,B
img/img002_20.png,B
img/img002_21.png,B
img/img002_22.png,B
img/img002_23.png,B
img/img002_24.png,B
img/img002_25.png,B
img/img002_26.png,B
img/img002_27.png,B
img/img002_28.png,B
img/img002_29.png,B
img/img002_30.png,B
img/img002_31.png,B
img/img002_32.png,B
img/img002_33.png,B
img/img002_34.png,B
img/img002_35.png,B
img/img002_36.png,B
img/img002_37.png,B
img/img002_38.png,B
img/img002_39.png,B
